id,gender,age,province,product,Q1,Q2,Q3,Q4,Q5
442,Male,55-64,ON,Bass-O-Matic,Somewhat satisfied,Very dissatisfied,Strongly agree,Not so helpful,7
443,Female,55-64,ON,Little Chocolate Donuts,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Very helpful,3
444,Male,55-64,BC,Happy Fun Ball,Very satisfied,Very satisfied,Strongly agree,Not so helpful,2
445,Male,25-34,ON,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Disagree,Extremely helpful,9
446,Female,18-24,AB,Happy Fun Ball,Somewhat satisfied,Very satisfied,Strongly disagree,Not so helpful,2
447,Female,35-54,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Very satisfied,Disagree,Very helpful,4
448,Female,35-54,BC,Bag of Glass,Somewhat dissatisfied,Somewhat dissatisfied,Disagree,Very helpful,9
449,Male,35-54,ON,Bass-O-Matic,Very satisfied,Very dissatisfied,Strongly disagree,Not at all helpful,7
450,Female,18-24,AB,Bag of Glass,Somewhat dissatisfied,Very dissatisfied,Strongly agree,Not at all helpful,8
451,Female,55-64,AB,Bag of Glass,Very dissatisfied,Somewhat satisfied,Disagree,Somewhat helpful,1
452,Female,25-34,AB,Bass-O-Matic,Somewhat dissatisfied,Very satisfied,Agree,Extremely helpful,9
453,Female,35-54,AB,Bass-O-Matic,Very satisfied,Very satisfied,Disagree,Not at all helpful,8
454,Female,18-24,ON,Bag of Glass,Very satisfied,Very satisfied,Disagree,Extremely helpful,4
455,Male,25-34,BC,Bag of Glass,Very satisfied,Neither satisfied nor dissatisfied,Strongly agree,Somewhat helpful,3
456,Male,65+,AB,Bass-O-Matic,Very dissatisfied,Very dissatisfied,Strongly disagree,Not at all helpful,10
457,Female,35-54,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly disagree,Very helpful,2
458,Female,25-34,AB,Bass-O-Matic,Somewhat satisfied,Very dissatisfied,Neither agree nor disagree,Not so helpful,2
459,Male,35-54,ON,Bag of Glass,Somewhat satisfied,Neither satisfied nor dissatisfied,Agree,Extremely helpful,2
460,Female,18-24,AB,Happy Fun Ball,Somewhat satisfied,Somewhat satisfied,Strongly agree,Not so helpful,4
461,Female,65+,ON,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Disagree,Very helpful,9
462,Male,35-54,BC,Bass-O-Matic,Very dissatisfied,Somewhat dissatisfied,Agree,Extremely helpful,3
463,Female,35-54,QC,Bag of Glass,Very satisfied,Somewhat dissatisfied,Strongly disagree,Somewhat helpful,0
464,Male,35-54,BC,Happy Fun Ball,Somewhat satisfied,Somewhat satisfied,Agree,Somewhat helpful,5
465,Male,25-34,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Very dissatisfied,Neither agree nor disagree,Not so helpful,9
466,Male,25-34,ON,Bass-O-Matic,Very satisfied,Very dissatisfied,Disagree,Not at all helpful,4
467,Male,55-64,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Very satisfied,Agree,Very helpful,5
468,Female,65+,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Agree,Extremely helpful,9
469,Male,65+,ON,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Neither agree nor disagree,Somewhat helpful,3
470,Female,35-54,QC,Bass-O-Matic,Somewhat satisfied,Very satisfied,Disagree,Somewhat helpful,9
471,Male,25-34,BC,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Very dissatisfied,Neither agree nor disagree,Very helpful,8
472,Male,25-34,ON,Happy Fun Ball,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Very helpful,7
473,Female,35-54,ON,Happy Fun Ball,Somewhat dissatisfied,Very satisfied,Neither agree nor disagree,Not so helpful,7
474,Female,55-64,ON,Happy Fun Ball,Very satisfied,Somewhat dissatisfied,Disagree,Somewhat helpful,4
475,Male,18-24,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Strongly agree,Not so helpful,1
476,Female,25-34,ON,Bass-O-Matic,Very dissatisfied,Somewhat dissatisfied,Agree,Very helpful,1
477,Male,35-54,BC,Happy Fun Ball,Very satisfied,Somewhat dissatisfied,Agree,Not at all helpful,5
478,Male,25-34,BC,Little Chocolate Donuts,Somewhat satisfied,Very satisfied,Agree,Not so helpful,10
479,Male,65+,QC,Happy Fun Ball,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly agree,Somewhat helpful,4
480,Male,55-64,ON,Little Chocolate Donuts,Very dissatisfied,Somewhat dissatisfied,Strongly agree,Not at all helpful,0
481,Female,35-54,AB,Happy Fun Ball,Somewhat satisfied,Somewhat satisfied,Strongly agree,Somewhat helpful,4
482,Female,35-54,QC,Happy Fun Ball,Somewhat satisfied,Very satisfied,Agree,Not so helpful,9
483,Female,65+,BC,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Strongly agree,Not so helpful,7
484,Male,55-64,BC,Happy Fun Ball,Somewhat satisfied,Very satisfied,Strongly agree,Not so helpful,2
485,Female,35-54,AB,Happy Fun Ball,Somewhat satisfied,Somewhat satisfied,Disagree,Very helpful,8
486,Female,55-64,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly agree,Not so helpful,5
487,Female,18-24,AB,Little Chocolate Donuts,Somewhat dissatisfied,Very dissatisfied,Agree,Not so helpful,5
488,Female,25-34,AB,Little Chocolate Donuts,Somewhat dissatisfied,Somewhat dissatisfied,Strongly disagree,Somewhat helpful,10
489,Female,65+,QC,Bass-O-Matic,Somewhat satisfied,Very satisfied,Strongly disagree,Extremely helpful,1
490,Male,25-34,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Agree,Not at all helpful,5
491,Female,65+,BC,Bass-O-Matic,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Somewhat helpful,10
492,Female,25-34,QC,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Disagree,Somewhat helpful,0
493,Male,35-54,AB,Bag of Glass,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Agree,Extremely helpful,0
494,Female,35-54,BC,Bass-O-Matic,Very satisfied,Very dissatisfied,Neither agree nor disagree,Not so helpful,2
495,Female,25-34,QC,Bag of Glass,Somewhat satisfied,Neither satisfied nor dissatisfied,Agree,Extremely helpful,2
496,Female,25-34,ON,Little Chocolate Donuts,Very dissatisfied,Somewhat satisfied,Strongly agree,Extremely helpful,10
497,Female,18-24,AB,Little Chocolate Donuts,Somewhat dissatisfied,Very dissatisfied,Agree,Not so helpful,9
498,Male,55-64,ON,Bass-O-Matic,Somewhat satisfied,Somewhat satisfied,Strongly disagree,Extremely helpful,7
499,Male,55-64,ON,Bass-O-Matic,Very dissatisfied,Somewhat satisfied,Neither agree nor disagree,Not at all helpful,4
500,Female,65+,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither agree nor disagree,Somewhat helpful,10
501,Male,35-54,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Disagree,Not at all helpful,5
502,Female,35-54,QC,Bass-O-Matic,Somewhat dissatisfied,Very satisfied,Neither agree nor disagree,Extremely helpful,5
503,Female,35-54,AB,Bag of Glass,Very satisfied,Somewhat dissatisfied,Strongly disagree,Extremely helpful,0
504,Female,35-54,ON,Little Chocolate Donuts,Somewhat dissatisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,0
505,Male,18-24,QC,Bass-O-Matic,Somewhat dissatisfied,Somewhat dissatisfied,Disagree,Very helpful,7
506,Male,35-54,BC,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Disagree,Not so helpful,3
507,Female,25-34,ON,Bass-O-Matic,Somewhat satisfied,Very satisfied,Strongly disagree,Not so helpful,0
508,Female,35-54,BC,Happy Fun Ball,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly disagree,Somewhat helpful,7
509,Male,35-54,BC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Neither agree nor disagree,Not so helpful,3
510,Male,65+,BC,Bass-O-Matic,Very dissatisfied,Somewhat satisfied,Agree,Not at all helpful,5
511,Female,25-34,AB,Bass-O-Matic,Very dissatisfied,Very dissatisfied,Disagree,Very helpful,4
512,Male,35-54,ON,Bag of Glass,Neither satisfied nor dissatisfied,Somewhat satisfied,Disagree,Somewhat helpful,4
513,Female,35-54,BC,Little Chocolate Donuts,Somewhat satisfied,Very satisfied,Agree,Somewhat helpful,1
514,Female,65+,BC,Bag of Glass,Somewhat satisfied,Somewhat satisfied,Disagree,Not at all helpful,1
515,Female,18-24,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Very satisfied,Neither agree nor disagree,Not at all helpful,9
516,Female,18-24,AB,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Very satisfied,Strongly disagree,Not at all helpful,10
517,Male,25-34,BC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly agree,Not at all helpful,7
518,Male,35-54,BC,Happy Fun Ball,Somewhat satisfied,Very dissatisfied,Neither agree nor disagree,Not at all helpful,8
519,Male,65+,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Very dissatisfied,Agree,Not so helpful,0
520,Female,25-34,QC,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Neither agree nor disagree,Extremely helpful,6
521,Male,65+,QC,Bass-O-Matic,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Disagree,Very helpful,1
522,Male,55-64,ON,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Strongly disagree,Somewhat helpful,2
523,Male,25-34,ON,Bass-O-Matic,Very dissatisfied,Somewhat satisfied,Strongly disagree,Extremely helpful,4
524,Female,25-34,QC,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly agree,Not so helpful,6
525,Female,25-34,QC,Bass-O-Matic,Very satisfied,Somewhat satisfied,Agree,Somewhat helpful,10
526,Female,25-34,AB,Bass-O-Matic,Very satisfied,Somewhat satisfied,Disagree,Not so helpful,0
527,Male,55-64,BC,Bass-O-Matic,Somewhat satisfied,Somewhat satisfied,Disagree,Not at all helpful,7
528,Male,35-54,BC,Happy Fun Ball,Somewhat satisfied,Somewhat satisfied,Strongly agree,Extremely helpful,2
529,Female,55-64,AB,Bass-O-Matic,Very satisfied,Somewhat satisfied,Strongly disagree,Not so helpful,5
530,Female,25-34,ON,Happy Fun Ball,Neither satisfied nor dissatisfied,Very dissatisfied,Disagree,Not at all helpful,2
531,Male,25-34,ON,Happy Fun Ball,Neither satisfied nor dissatisfied,Somewhat satisfied,Agree,Somewhat helpful,0
532,Male,35-54,QC,Little Chocolate Donuts,Somewhat dissatisfied,Very dissatisfied,Strongly disagree,Very helpful,0
533,Male,55-64,ON,Bass-O-Matic,Very dissatisfied,Very satisfied,Disagree,Somewhat helpful,2
534,Male,65+,QC,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Neither agree nor disagree,Not so helpful,6
535,Female,35-54,BC,Bass-O-Matic,Somewhat satisfied,Very dissatisfied,Agree,Not at all helpful,4
536,Female,18-24,AB,Bass-O-Matic,Very dissatisfied,Somewhat satisfied,Neither agree nor disagree,Somewhat helpful,9
537,Female,25-34,ON,Bass-O-Matic,Very satisfied,Somewhat satisfied,Agree,Extremely helpful,7
538,Female,65+,ON,Bass-O-Matic,Somewhat satisfied,Very satisfied,Strongly agree,Not at all helpful,0
539,Female,65+,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Somewhat helpful,2
540,Female,55-64,ON,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Neither agree nor disagree,Very helpful,6
541,Male,35-54,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly agree,Not at all helpful,1
542,Female,55-64,BC,Happy Fun Ball,Neither satisfied nor dissatisfied,Very satisfied,Agree,Extremely helpful,6
543,Male,25-34,ON,Bass-O-Matic,Very dissatisfied,Somewhat dissatisfied,Agree,Somewhat helpful,1
544,Female,35-54,QC,Bass-O-Matic,Somewhat satisfied,Very satisfied,Neither agree nor disagree,Somewhat helpful,2
545,Female,65+,QC,Bass-O-Matic,Somewhat satisfied,Very satisfied,Strongly disagree,Somewhat helpful,2
546,Male,35-54,BC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,4
547,Male,35-54,QC,Bass-O-Matic,Very satisfied,Very dissatisfied,Neither agree nor disagree,Very helpful,2
548,Female,65+,ON,Bag of Glass,Very dissatisfied,Very dissatisfied,Strongly disagree,Not at all helpful,0
549,Male,25-34,ON,Bass-O-Matic,Very dissatisfied,Very satisfied,Strongly disagree,Very helpful,6
550,Male,25-34,ON,Bass-O-Matic,Somewhat satisfied,Somewhat dissatisfied,Neither agree nor disagree,Not at all helpful,1
551,Male,25-34,AB,Bass-O-Matic,Somewhat satisfied,Somewhat dissatisfied,Disagree,Not so helpful,2
552,Female,25-34,AB,Bag of Glass,Very dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Not so helpful,0
553,Male,65+,BC,Happy Fun Ball,Very satisfied,Very satisfied,Disagree,Not so helpful,8
554,Female,25-34,ON,Bag of Glass,Somewhat dissatisfied,Somewhat satisfied,Neither agree nor disagree,Not so helpful,3
555,Female,65+,ON,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Disagree,Somewhat helpful,2
556,Male,65+,ON,Happy Fun Ball,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Not so helpful,3
557,Male,35-54,ON,Bass-O-Matic,Somewhat satisfied,Very satisfied,Neither agree nor disagree,Not so helpful,10
558,Female,35-54,AB,Bass-O-Matic,Somewhat satisfied,Very satisfied,Agree,Somewhat helpful,0
559,Male,25-34,QC,Bass-O-Matic,Very satisfied,Somewhat satisfied,Neither agree nor disagree,Not so helpful,4
560,Male,65+,AB,Bass-O-Matic,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly agree,Very helpful,2
561,Male,55-64,AB,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Strongly disagree,Very helpful,4
562,Male,55-64,AB,Bass-O-Matic,Somewhat satisfied,Somewhat dissatisfied,Neither agree nor disagree,Extremely helpful,2
563,Female,25-34,QC,Bass-O-Matic,Somewhat satisfied,Very satisfied,Agree,Not so helpful,10
564,Male,65+,AB,Little Chocolate Donuts,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Agree,Very helpful,3
565,Male,25-34,QC,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Agree,Somewhat helpful,10
566,Male,55-64,QC,Little Chocolate Donuts,Somewhat satisfied,Very satisfied,Strongly disagree,Somewhat helpful,10
567,Male,65+,AB,Little Chocolate Donuts,Somewhat dissatisfied,Somewhat satisfied,Neither agree nor disagree,Somewhat helpful,10
568,Male,55-64,AB,Little Chocolate Donuts,Very satisfied,Neither satisfied nor dissatisfied,Strongly disagree,Very helpful,1
569,Male,18-24,QC,Happy Fun Ball,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly disagree,Somewhat helpful,3
570,Male,35-54,QC,Happy Fun Ball,Somewhat satisfied,Very dissatisfied,Neither agree nor disagree,Not so helpful,4
571,Male,65+,BC,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,0
572,Female,35-54,ON,Bass-O-Matic,Somewhat satisfied,Somewhat dissatisfied,Disagree,Extremely helpful,3
573,Male,18-24,AB,Happy Fun Ball,Very dissatisfied,Very dissatisfied,Disagree,Not so helpful,8
574,Male,65+,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Very dissatisfied,Disagree,Not so helpful,4
575,Female,18-24,BC,Little Chocolate Donuts,Very dissatisfied,Somewhat dissatisfied,Agree,Not at all helpful,7
576,Female,18-24,ON,Little Chocolate Donuts,Very dissatisfied,Very satisfied,Agree,Somewhat helpful,5
577,Female,35-54,BC,Bass-O-Matic,Neither satisfied nor dissatisfied,Very satisfied,Disagree,Somewhat helpful,3
578,Female,18-24,QC,Happy Fun Ball,Somewhat satisfied,Very dissatisfied,Agree,Not so helpful,7
579,Female,55-64,ON,Happy Fun Ball,Very satisfied,Neither satisfied nor dissatisfied,Agree,Very helpful,5
580,Female,65+,AB,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Disagree,Not so helpful,5
581,Female,55-64,ON,Bass-O-Matic,Somewhat dissatisfied,Somewhat dissatisfied,Strongly disagree,Not at all helpful,3
582,Female,25-34,BC,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Strongly disagree,Not at all helpful,2
583,Female,65+,QC,Bass-O-Matic,Somewhat satisfied,Somewhat dissatisfied,Strongly disagree,Somewhat helpful,10
584,Male,65+,ON,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Strongly agree,Very helpful,2
585,Male,18-24,BC,Bag of Glass,Very dissatisfied,Very dissatisfied,Disagree,Very helpful,1
586,Female,65+,QC,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Agree,Extremely helpful,6
587,Male,25-34,ON,Bag of Glass,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither agree nor disagree,Not so helpful,0
588,Female,25-34,QC,Happy Fun Ball,Somewhat satisfied,Very satisfied,Strongly disagree,Very helpful,9
589,Male,35-54,AB,Bass-O-Matic,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Disagree,Not so helpful,4
590,Male,25-34,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Disagree,Not so helpful,4
591,Female,65+,AB,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Disagree,Not at all helpful,4
592,Female,65+,ON,Little Chocolate Donuts,Somewhat satisfied,Very satisfied,Disagree,Very helpful,10
593,Female,65+,BC,Happy Fun Ball,Neither satisfied nor dissatisfied,Very dissatisfied,Strongly agree,Very helpful,4
594,Male,18-24,ON,Bass-O-Matic,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Somewhat helpful,0
595,Female,18-24,ON,Bass-O-Matic,Somewhat satisfied,Very dissatisfied,Disagree,Not at all helpful,9
596,Male,35-54,ON,Bass-O-Matic,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Not at all helpful,0
597,Male,25-34,BC,Bass-O-Matic,Very dissatisfied,Somewhat dissatisfied,Disagree,Extremely helpful,9
598,Female,35-54,ON,Bass-O-Matic,Very dissatisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,1
599,Male,18-24,ON,Happy Fun Ball,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Disagree,Not so helpful,4
600,Male,35-54,BC,Happy Fun Ball,Very dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Not at all helpful,7
601,Male,35-54,ON,Bass-O-Matic,Very dissatisfied,Very dissatisfied,Strongly agree,Very helpful,1
602,Male,65+,ON,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Disagree,Somewhat helpful,10
603,Male,25-34,QC,Bag of Glass,Very satisfied,Neither satisfied nor dissatisfied,Strongly disagree,Somewhat helpful,4
604,Female,25-34,ON,Little Chocolate Donuts,Very dissatisfied,Somewhat dissatisfied,Strongly agree,Not at all helpful,10
605,Male,65+,QC,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Very helpful,7
606,Female,25-34,ON,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Strongly agree,Somewhat helpful,9
607,Male,55-64,QC,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither agree nor disagree,Not at all helpful,8
608,Male,35-54,QC,Bass-O-Matic,Very dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Not so helpful,6
609,Female,35-54,ON,Bass-O-Matic,Very dissatisfied,Very satisfied,Agree,Somewhat helpful,2
610,Male,65+,ON,Happy Fun Ball,Very satisfied,Very dissatisfied,Strongly agree,Somewhat helpful,8
611,Male,65+,ON,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Disagree,Somewhat helpful,5
612,Male,18-24,AB,Little Chocolate Donuts,Very satisfied,Very dissatisfied,Neither agree nor disagree,Not so helpful,3
613,Male,25-34,AB,Happy Fun Ball,Somewhat satisfied,Somewhat dissatisfied,Disagree,Not so helpful,9
614,Male,35-54,ON,Happy Fun Ball,Somewhat satisfied,Somewhat satisfied,Disagree,Very helpful,3
615,Female,55-64,AB,Bag of Glass,Very dissatisfied,Somewhat dissatisfied,Strongly disagree,Extremely helpful,10
616,Female,65+,QC,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Strongly agree,Very helpful,2
617,Male,18-24,ON,Bass-O-Matic,Very dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Not at all helpful,3
618,Male,55-64,QC,Bass-O-Matic,Very dissatisfied,Very dissatisfied,Disagree,Not at all helpful,1
619,Male,25-34,AB,Happy Fun Ball,Somewhat dissatisfied,Somewhat satisfied,Agree,Extremely helpful,1
620,Male,35-54,QC,Little Chocolate Donuts,Very satisfied,Somewhat satisfied,Strongly disagree,Very helpful,9
621,Male,65+,AB,Bass-O-Matic,Somewhat satisfied,Somewhat satisfied,Strongly disagree,Somewhat helpful,10
622,Male,18-24,BC,Bass-O-Matic,Somewhat satisfied,Very satisfied,Disagree,Very helpful,1
623,Male,35-54,BC,Happy Fun Ball,Somewhat dissatisfied,Very satisfied,Disagree,Not at all helpful,4
624,Female,18-24,AB,Happy Fun Ball,Somewhat satisfied,Very dissatisfied,Neither agree nor disagree,Extremely helpful,9
625,Male,35-54,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Very dissatisfied,Neither agree nor disagree,Extremely helpful,4
626,Male,65+,AB,Bass-O-Matic,Somewhat satisfied,Very satisfied,Disagree,Very helpful,2
627,Male,25-34,QC,Bass-O-Matic,Very dissatisfied,Somewhat satisfied,Disagree,Very helpful,9
628,Male,55-64,QC,Little Chocolate Donuts,Very satisfied,Neither satisfied nor dissatisfied,Disagree,Not at all helpful,9
629,Male,55-64,AB,Little Chocolate Donuts,Somewhat satisfied,Very dissatisfied,Agree,Somewhat helpful,4
630,Male,18-24,AB,Bass-O-Matic,Very dissatisfied,Very satisfied,Strongly agree,Very helpful,4
631,Female,65+,AB,Bass-O-Matic,Somewhat satisfied,Somewhat satisfied,Agree,Somewhat helpful,9
632,Female,18-24,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly disagree,Very helpful,3
633,Male,25-34,BC,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Strongly disagree,Not at all helpful,4
634,Female,35-54,ON,Happy Fun Ball,Neither satisfied nor dissatisfied,Very dissatisfied,Neither agree nor disagree,Not so helpful,6
635,Female,65+,QC,Bass-O-Matic,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Somewhat helpful,5
636,Male,25-34,QC,Little Chocolate Donuts,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Agree,Somewhat helpful,0
637,Male,55-64,AB,Bass-O-Matic,Very satisfied,Very satisfied,Strongly agree,Somewhat helpful,10
638,Female,35-54,QC,Little Chocolate Donuts,Very satisfied,Somewhat satisfied,Disagree,Extremely helpful,10
639,Female,55-64,ON,Bass-O-Matic,Somewhat satisfied,Very dissatisfied,Strongly disagree,Not at all helpful,6
640,Male,65+,QC,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Very satisfied,Neither agree nor disagree,Not at all helpful,4
641,Female,35-54,AB,Little Chocolate Donuts,Somewhat dissatisfied,Very satisfied,Disagree,Somewhat helpful,3
642,Female,25-34,ON,Bag of Glass,Very satisfied,Very dissatisfied,Strongly agree,Extremely helpful,5
643,Female,35-54,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Very satisfied,Strongly agree,Somewhat helpful,0
644,Male,25-34,BC,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly disagree,Not at all helpful,7
645,Female,35-54,BC,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Very satisfied,Neither agree nor disagree,Extremely helpful,0
646,Male,35-54,AB,Happy Fun Ball,Very dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Not at all helpful,7
647,Male,35-54,BC,Little Chocolate Donuts,Very dissatisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,9
648,Male,55-64,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly agree,Not so helpful,6
649,Male,35-54,QC,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly agree,Not at all helpful,7
650,Female,25-34,BC,Bass-O-Matic,Somewhat satisfied,Somewhat satisfied,Disagree,Not at all helpful,1
651,Male,18-24,QC,Bag of Glass,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Extremely helpful,10
652,Male,35-54,ON,Little Chocolate Donuts,Somewhat satisfied,Very dissatisfied,Agree,Not at all helpful,9
653,Female,35-54,BC,Happy Fun Ball,Somewhat satisfied,Neither satisfied nor dissatisfied,Agree,Somewhat helpful,3
654,Male,35-54,QC,Happy Fun Ball,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Agree,Somewhat helpful,10
655,Male,25-34,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Neither agree nor disagree,Very helpful,9
656,Female,35-54,ON,Little Chocolate Donuts,Somewhat satisfied,Very satisfied,Neither agree nor disagree,Extremely helpful,1
657,Female,25-34,AB,Happy Fun Ball,Somewhat dissatisfied,Very satisfied,Neither agree nor disagree,Not so helpful,3
658,Female,65+,BC,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Neither agree nor disagree,Somewhat helpful,3
659,Male,18-24,AB,Bass-O-Matic,Somewhat satisfied,Very satisfied,Strongly disagree,Not at all helpful,3
660,Female,35-54,ON,Bass-O-Matic,Very satisfied,Somewhat satisfied,Disagree,Very helpful,2
661,Male,35-54,ON,Little Chocolate Donuts,Somewhat dissatisfied,Very dissatisfied,Agree,Very helpful,2
662,Male,25-34,QC,Bag of Glass,Somewhat satisfied,Somewhat satisfied,Disagree,Somewhat helpful,2
663,Female,35-54,QC,Little Chocolate Donuts,Very dissatisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,9
664,Male,18-24,AB,Happy Fun Ball,Somewhat satisfied,Somewhat dissatisfied,Agree,Not so helpful,10
665,Male,18-24,AB,Happy Fun Ball,Very satisfied,Somewhat satisfied,Strongly disagree,Extremely helpful,2
666,Female,25-34,ON,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Strongly disagree,Very helpful,4
667,Male,65+,BC,Bass-O-Matic,Very dissatisfied,Very dissatisfied,Agree,Not so helpful,7
668,Male,65+,ON,Happy Fun Ball,Somewhat satisfied,Very dissatisfied,Strongly agree,Not so helpful,3
669,Female,35-54,QC,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Strongly disagree,Very helpful,0
670,Female,35-54,ON,Bag of Glass,Somewhat dissatisfied,Somewhat dissatisfied,Neither agree nor disagree,Extremely helpful,1
671,Male,35-54,QC,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Disagree,Not at all helpful,7
672,Male,65+,ON,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Agree,Not at all helpful,8
673,Female,25-34,ON,Bag of Glass,Very dissatisfied,Somewhat satisfied,Agree,Extremely helpful,8
